City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
340,banda aceh,92,ID,1513209813,100,5.56,95.32,74.14,2.01
341,ilulissat,64,GL,1513209000,85,69.22,-51.1,19.4,11.41
342,leningradskiy,92,RU,1513209814,94,69.38,178.42,23.6,27.67
343,gwadar,0,PK,1513209814,89,25.12,62.33,56.14,11.68
344,bhinga,0,IN,1513209814,85,27.72,81.93,52.31,6.53
345,aykhal,64,RU,1513209815,69,66.0,111.5,-24.37,3.02
346,lompoc,1,US,1513208100,11,34.64,-120.46,80.6,8.05
347,gien,92,FR,1513209815,92,47.69,2.63,46.19,24.99
348,laguna,1,US,1513208100,36,38.42,-121.42,60.8,3.02
349,poum,92,NC,1513209815,100,-20.23,164.02,77.69,10.4
350,borujerd,0,IR,1513205400,64,33.9,48.75,33.8,9.17
351,ningbo,90,CN,1513206000,100,29.88,121.55,46.4,2.24
352,lamesa,1,US,1513206900,16,32.74,-101.95,64.4,6.93
353,cloppenburg,75,DE,1513209000,93,52.85,8.03,39.2,18.34
354,saint-joseph,0,RE,1513207800,73,-21.37,55.62,78.8,5.82
355,lasa,90,IT,1513207200,73,46.62,10.7,23.0,1.12
356,glendive,90,US,1513209300,69,47.11,-104.71,37.4,11.41
357,aklavik,90,CA,1513208460,84,68.22,-135.01,10.4,5.82
358,pangody,48,RU,1513209819,81,65.85,74.49,1.55,15.88
359,lavrentiya,68,RU,1513209819,100,65.58,-171.0,27.61,16.71
360,walvis bay,0,NA,1513206000,82,-22.96,14.51,55.4,5.82
361,mayskiy,0,RU,1513207800,81,47.69,40.1,35.6,6.71
362,ambilobe,76,MG,1513209820,100,-13.2,49.05,72.92,4.41
363,kampot,20,KH,1513209821,93,10.62,104.18,71.12,0.27
364,matongo,0,TZ,1513209821,86,-2.38,34.08,58.25,3.4
365,barraute,40,CA,1513206000,77,48.43,-77.63,-2.21,12.75
366,muramatsu,75,JP,1513206000,74,37.68,139.18,37.4,19.46
367,palembang,20,ID,1513206000,94,-2.92,104.75,75.2,3.36
368,suluq,0,LY,1513209823,83,31.67,20.25,38.27,3.13
369,laiyang,64,CN,1513209824,78,36.98,120.71,16.31,2.62
370,mount isa,0,AU,1513206000,38,-20.73,139.5,91.4,5.82
371,tiznit,0,MA,1513209824,67,29.58,-9.5,37.46,3.74
372,saint andrews,1,US,1513209360,41,34.05,-81.13,44.6,5.82
373,port-cartier,90,CA,1513206000,92,50.03,-66.87,30.2,11.41
374,batagay-alyta,12,RU,1513209825,0,67.8,130.41,-48.9,2.62
375,paracuru,40,BR,1513206000,69,-3.41,-39.03,82.4,9.17
376,namatanai,80,PG,1513209826,100,-3.67,152.43,82.37,15.7
377,narsaq,0,GL,1513209000,52,60.92,-46.05,15.8,8.1
378,inta,80,RU,1513209827,83,66.03,60.17,21.17,7.76
379,uniao,0,BR,1513206000,62,-4.59,-42.86,86.0,6.93
380,emba,20,CY,1513207800,71,34.81,32.42,53.6,10.29
381,belmonte,75,BR,1513206000,100,-15.86,-38.88,75.2,3.36
382,port blair,36,IN,1513209828,100,11.67,92.75,82.24,7.87
